EmployeeID,Name,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,BusinessTravel,DistanceFromHome,Attrition
1001,Employee_1,50,Male,Sales,Executive,High School,Medical,Single,18754,159,1065,6451,No,26,15,10,5,6,1,1,2,Non-Travel,10,No
1002,Employee_2,36,Female,Sales,Manager,Master,Engineering,Divorced,42044,68,338,9548,No,23,16,10,1,8,4,1,2,Travel_Rarely,25,No
1003,Employee_3,29,Male,IT,Analyst,PhD,Medical,Single,82260,81,1195,8186,Yes,18,14,2,2,9,3,3,1,Travel_Frequently,34,No
1004,Employee_4,42,Female,IT,Scientist,PhD,Arts,Single,81912,186,634,7102,No,32,2,11,6,4,3,3,3,Travel_Frequently,37,Yes
1005,Employee_5,40,Female,Operations,Manager,Master,Business,Divorced,23706,61,708,1619,No,3,11,2,1,0,4,4,4,Non-Travel,30,No
1006,Employee_6,44,Female,HR,Executive,PhD,Business,Married,23894,188,472,1882,Yes,3,8,9,5,1,4,1,2,Non-Travel,7,Yes
1007,Employee_7,32,Male,R&D,Analyst,PhD,Business,Single,33037,95,1322,4642,No,30,11,10,4,3,1,3,1,Travel_Rarely,6,Yes
1008,Employee_8,32,Female,R&D,Technician,High School,Business,Divorced,98986,168,303,2296,Yes,1,14,0,9,4,2,3,2,Travel_Rarely,3,No
1009,Employee_9,45,Female,Operations,Executive,Master,Business,Single,96942,65,1437,15122,Yes,30,1,5,0,8,3,4,4,Non-Travel,13,No
1010,Employee_10,57,Female,Finance,Executive,Bachelor,Business,Single,66612,178,961,3895,No,32,17,1,9,0,2,2,3,Non-Travel,3,Yes
1011,Employee_11,45,Female,HR,Analyst,High School,Business,Married,44725,112,986,18313,No,28,19,0,3,2,2,1,3,Travel_Frequently,26,No
1012,Employee_12,24,Male,Operations,Executive,Master,Arts,Single,20926,158,364,6366,No,21,11,1,1,4,4,3,3,Travel_Frequently,24,Yes
1013,Employee_13,43,Female,HR,Analyst,High School,Engineering,Divorced,119555,168,1198,9711,Yes,13,3,11,3,2,2,4,1,Travel_Frequently,6,No
1014,Employee_14,23,Male,HR,Manager,Bachelor,Science,Single,24496,70,719,19793,Yes,27,15,5,0,3,1,4,1,Non-Travel,12,No
1015,Employee_15,45,Male,HR,Analyst,Bachelor,Medical,Married,71447,62,716,9199,Yes,7,15,3,1,2,4,4,3,Non-Travel,36,No
1016,Employee_16,51,Male,Operations,Analyst,Master,Science,Married,116604,53,856,11717,No,22,0,5,7,3,2,3,4,Non-Travel,2,Yes
1017,Employee_17,59,Male,R&D,Scientist,Bachelor,Science,Divorced,44806,151,812,4423,No,10,1,11,5,0,4,1,4,Travel_Frequently,11,No
1018,Employee_18,23,Male,R&D,Analyst,High School,Engineering,Married,103199,108,363,11211,No,15,2,8,1,7,1,2,1,Non-Travel,39,No
1019,Employee_19,42,Male,HR,Analyst,Bachelor,Engineering,Single,56321,177,263,13782,No,15,19,9,5,3,1,1,3,Travel_Rarely,34,No
1020,Employee_20,54,Female,Finance,Technician,High School,Engineering,Married,117031,76,1314,13474,Yes,4,16,11,9,6,2,4,4,Non-Travel,26,No
1021,Employee_21,33,Male,Sales,Manager,High School,Business,Divorced,80095,118,1340,4667,Yes,32,19,9,8,1,4,4,4,Non-Travel,18,No
1022,Employee_22,43,Male,Operations,Scientist,Bachelor,Arts,Married,37656,74,466,9277,Yes,23,0,7,6,1,2,2,4,Non-Travel,21,Yes
1023,Employee_23,46,Male,Sales,Technician,Master,Business,Married,70147,180,1363,13424,Yes,6,19,0,8,5,2,1,1,Non-Travel,36,No
1024,Employee_24,48,Female,Finance,Developer,PhD,Arts,Married,106396,146,445,19852,No,24,5,7,4,1,4,4,3,Non-Travel,22,No
1025,Employee_25,49,Female,Operations,Manager,Bachelor,Arts,Divorced,64666,74,594,19020,No,20,14,8,6,5,2,4,2,Travel_Rarely,30,Yes
1026,Employee_26,37,Male,HR,Manager,High School,Science,Married,97368,197,675,9155,No,20,13,5,6,1,1,1,3,Travel_Rarely,30,No
1027,Employee_27,36,Female,R&D,Developer,High School,Science,Married,53787,175,1176,4583,Yes,12,19,9,2,3,4,4,3,Non-Travel,8,Yes
1028,Employee_28,24,Male,Sales,Analyst,Bachelor,Arts,Single,77946,182,1407,16515,Yes,33,14,4,6,6,4,1,1,Travel_Frequently,34,No
1029,Employee_29,58,Male,IT,Technician,Master,Arts,Divorced,36727,58,1243,5009,No,28,13,5,0,7,4,4,4,Non-Travel,9,No
1030,Employee_30,28,Female,IT,Executive,Master,Business,Married,110081,165,757,11410,No,8,4,5,8,2,4,1,4,Non-Travel,20,No
1031,Employee_31,42,Male,Finance,Scientist,High School,Business,Divorced,83056,183,1217,19601,Yes,1,5,8,9,8,2,2,1,Non-Travel,25,No
1032,Employee_32,30,Female,HR,Executive,High School,Science,Married,18081,109,1082,5967,No,22,16,3,5,1,2,4,1,Travel_Frequently,19,No
1033,Employee_33,39,Female,Sales,Developer,Master,Engineering,Married,49196,170,346,19753,Yes,6,10,1,4,7,1,2,1,Travel_Frequently,5,No
1034,Employee_34,25,Male,HR,Manager,PhD,Arts,Married,51735,188,865,11695,Yes,21,15,10,6,7,3,4,1,Travel_Frequently,11,Yes
1035,Employee_35,46,Male,Sales,Manager,Bachelor,Business,Single,119749,157,819,10135,Yes,32,11,10,4,3,3,4,1,Travel_Rarely,15,No
1036,Employee_36,35,Female,Finance,Scientist,High School,Science,Single,95102,157,1019,6722,No,15,14,8,9,0,1,3,2,Travel_Frequently,8,Yes
1037,Employee_37,30,Male,Finance,Manager,High School,Business,Single,94578,180,1063,16514,No,5,3,1,4,0,3,1,3,Travel_Rarely,19,No
1038,Employee_38,47,Male,IT,Manager,Master,Arts,Divorced,40498,125,781,12128,Yes,6,17,9,9,1,1,2,3,Travel_Rarely,23,No
1039,Employee_39,23,Male,HR,Scientist,Bachelor,Arts,Divorced,91865,79,1222,5444,No,25,2,8,6,8,2,2,3,Travel_Frequently,27,No
1040,Employee_40,41,Female,Operations,Technician,Master,Medical,Single,46656,70,894,8618,Yes,29,7,1,9,1,4,2,4,Travel_Frequently,32,No
1041,Employee_41,49,Female,IT,Technician,Bachelor,Engineering,Divorced,82695,83,1451,19060,Yes,7,2,11,6,1,4,1,2,Travel_Frequently,26,No
1042,Employee_42,28,Male,HR,Scientist,Bachelor,Medical,Married,52900,90,1325,2196,Yes,13,7,7,2,5,2,3,3,Travel_Rarely,27,No
1043,Employee_43,29,Female,IT,Developer,Bachelor,Science,Married,99899,100,1439,13297,Yes,18,17,8,2,6,4,2,4,Non-Travel,19,Yes
1044,Employee_44,56,Female,Operations,Manager,High School,Business,Married,62701,131,606,3787,No,2,9,11,9,6,4,1,2,Travel_Frequently,29,No
1045,Employee_45,35,Female,R&D,Manager,PhD,Science,Single,34033,107,598,8927,Yes,8,19,9,2,8,3,4,2,Travel_Frequently,39,Yes
1046,Employee_46,38,Female,R&D,Developer,Master,Arts,Divorced,25805,124,914,3176,Yes,11,16,8,5,5,2,2,4,Travel_Frequently,33,Yes
1047,Employee_47,57,Female,R&D,Technician,PhD,Medical,Single,50851,72,903,9792,No,33,7,9,5,7,3,2,2,Travel_Rarely,19,No
1048,Employee_48,25,Male,R&D,Analyst,Master,Medical,Divorced,41832,177,960,10171,Yes,27,10,8,2,5,3,3,4,Travel_Rarely,37,Yes
1049,Employee_49,23,Male,Sales,Analyst,Bachelor,Medical,Married,78437,199,698,3451,Yes,20,4,1,2,1,4,2,3,Non-Travel,19,No
1050,Employee_50,27,Male,R&D,Analyst,High School,Science,Single,28944,66,1173,1628,No,12,12,3,7,0,4,2,4,Travel_Frequently,33,Yes
1051,Employee_51,25,Female,Operations,Technician,PhD,Arts,Divorced,34873,118,281,10821,No,31,4,6,7,4,2,4,2,Travel_Rarely,16,Yes
1052,Employee_52,50,Female,Finance,Technician,High School,Business,Divorced,55372,157,803,8778,No,27,12,11,6,8,4,1,3,Non-Travel,23,Yes
1053,Employee_53,39,Male,Finance,Developer,Master,Business,Married,104464,188,971,4696,Yes,32,5,1,9,7,4,1,3,Travel_Frequently,7,No
1054,Employee_54,47,Female,Sales,Manager,High School,Science,Single,30379,143,1102,13972,No,10,4,0,3,3,2,3,1,Travel_Rarely,26,Yes
1055,Employee_55,55,Male,R&D,Developer,High School,Medical,Single,51751,64,564,9307,No,3,8,2,3,4,4,4,1,Travel_Frequently,32,No
1056,Employee_56,31,Male,R&D,Developer,PhD,Engineering,Single,115082,140,362,5956,Yes,27,15,11,2,4,3,1,2,Travel_Frequently,12,Yes
1057,Employee_57,57,Male,R&D,Technician,Bachelor,Science,Married,104822,82,1271,11195,Yes,31,1,3,4,5,2,4,4,Travel_Rarely,8,No
1058,Employee_58,35,Female,IT,Analyst,High School,Science,Single,20110,174,710,18076,Yes,15,0,7,2,2,4,1,4,Travel_Rarely,5,Yes
1059,Employee_59,52,Female,HR,Executive,Bachelor,Arts,Married,69341,65,315,2105,Yes,16,7,5,7,4,1,4,2,Travel_Rarely,28,No
1060,Employee_60,36,Male,IT,Manager,Master,Business,Married,27087,115,1140,19545,Yes,13,18,10,6,1,2,3,3,Travel_Frequently,5,No
1061,Employee_61,29,Male,HR,Technician,High School,Science,Married,38762,96,536,16417,No,11,10,1,2,9,2,2,2,Travel_Frequently,26,Yes
1062,Employee_62,35,Male,R&D,Analyst,PhD,Science,Divorced,97617,197,1080,15188,No,21,11,8,8,0,1,3,2,Non-Travel,5,No
1063,Employee_63,44,Male,R&D,Executive,Master,Medical,Single,115483,173,936,13602,No,11,11,1,4,0,4,1,3,Travel_Frequently,22,No
1064,Employee_64,42,Female,IT,Executive,Master,Medical,Single,24596,50,1039,10256,Yes,30,6,11,8,9,4,3,4,Travel_Rarely,15,No
1065,Employee_65,37,Female,IT,Technician,PhD,Engineering,Married,118555,136,346,15212,Yes,22,12,4,6,6,2,2,2,Travel_Frequently,13,No
1066,Employee_66,39,Male,HR,Scientist,High School,Arts,Married,33313,177,642,2913,Yes,31,7,11,6,1,2,3,4,Non-Travel,28,No
1067,Employee_67,45,Male,Finance,Manager,High School,Engineering,Single,81549,116,1036,11593,No,14,8,3,5,3,4,1,2,Non-Travel,33,No
1068,Employee_68,47,Female,HR,Executive,Master,Medical,Married,38705,53,1236,2772,No,24,6,6,1,4,4,1,3,Travel_Rarely,23,No
1069,Employee_69,46,Female,IT,Technician,High School,Business,Single,82364,96,1142,13996,Yes,32,14,7,8,6,3,3,3,Travel_Rarely,33,No
1070,Employee_70,50,Male,Operations,Technician,Bachelor,Medical,Divorced,88445,87,486,3871,No,32,1,4,5,1,2,2,1,Non-Travel,18,No
1071,Employee_71,36,Male,IT,Analyst,PhD,Arts,Married,118892,192,919,14234,Yes,15,19,9,7,5,2,3,3,Non-Travel,30,No
1072,Employee_72,22,Male,Operations,Scientist,Bachelor,Medical,Single,93645,70,1337,18044,No,3,11,4,0,0,1,2,1,Non-Travel,26,No
1073,Employee_73,46,Female,Sales,Manager,High School,Arts,Married,17023,106,679,11521,No,16,0,1,4,6,3,4,2,Travel_Rarely,16,Yes
1074,Employee_74,28,Female,IT,Developer,Master,Arts,Single,74796,166,221,11642,No,5,7,7,0,8,4,2,4,Non-Travel,13,No
1075,Employee_75,30,Female,Sales,Analyst,PhD,Arts,Single,95073,95,882,2132,Yes,21,4,1,9,4,3,4,3,Non-Travel,39,Yes
1076,Employee_76,45,Male,Finance,Executive,High School,Arts,Married,107197,191,1105,1699,No,10,14,9,7,4,4,3,3,Travel_Rarely,33,No
1077,Employee_77,22,Male,HR,Executive,High School,Arts,Divorced,79429,194,519,15534,No,19,0,11,7,3,4,2,3,Travel_Frequently,26,No
1078,Employee_78,29,Female,Operations,Analyst,Master,Business,Single,119195,88,325,11230,Yes,25,0,5,0,2,3,4,2,Travel_Frequently,1,No
1079,Employee_79,45,Female,HR,Technician,Master,Engineering,Single,76627,186,476,7297,No,4,9,7,8,8,2,4,1,Non-Travel,38,Yes
1080,Employee_80,32,Male,Sales,Executive,Bachelor,Science,Single,48848,148,1427,13839,Yes,29,9,5,1,4,4,4,2,Travel_Frequently,2,No
1081,Employee_81,38,Female,Operations,Scientist,PhD,Engineering,Divorced,52804,126,393,8812,Yes,19,14,3,8,7,3,1,4,Travel_Frequently,6,No
1082,Employee_82,29,Female,HR,Manager,PhD,Arts,Divorced,30379,164,895,5557,Yes,2,16,3,0,8,1,3,2,Travel_Frequently,38,No
1083,Employee_83,56,Male,IT,Scientist,Master,Business,Married,74664,183,256,3179,Yes,10,5,5,9,4,3,4,4,Travel_Frequently,24,No
1084,Employee_84,56,Female,R&D,Executive,Bachelor,Medical,Divorced,42766,140,1386,12030,Yes,25,2,3,8,9,1,2,3,Non-Travel,18,No
1085,Employee_85,54,Male,Sales,Developer,PhD,Business,Married,83099,147,218,10065,No,20,12,7,3,8,4,4,4,Travel_Frequently,27,Yes
1086,Employee_86,26,Male,HR,Manager,Master,Arts,Married,51060,169,463,9275,Yes,19,15,8,8,1,3,1,4,Travel_Frequently,8,Yes
1087,Employee_87,49,Male,Sales,Manager,High School,Business,Divorced,109733,95,993,18806,Yes,23,7,0,6,8,3,3,1,Travel_Rarely,28,No
1088,Employee_88,28,Male,Sales,Analyst,PhD,Business,Married,84122,87,312,16089,Yes,24,14,3,5,3,1,1,4,Non-Travel,10,Yes
1089,Employee_89,30,Male,Operations,Analyst,Bachelor,Arts,Divorced,31087,191,741,4180,Yes,11,16,3,4,5,3,1,4,Travel_Rarely,17,No
1090,Employee_90,29,Male,Operations,Developer,Bachelor,Business,Married,63868,149,846,7696,No,34,16,1,8,5,3,1,2,Travel_Rarely,29,No
1091,Employee_91,33,Male,R&D,Technician,Bachelor,Science,Divorced,38225,121,778,10583,Yes,28,12,5,1,5,4,2,3,Non-Travel,6,No
1092,Employee_92,55,Female,IT,Manager,High School,Science,Divorced,110286,84,1288,17998,No,5,16,2,1,1,3,3,2,Travel_Frequently,14,Yes
1093,Employee_93,54,Male,Sales,Developer,PhD,Business,Married,21643,196,224,14869,Yes,5,5,6,8,6,2,3,2,Travel_Rarely,22,No
